Altium Designer Pick and Place Locations
C:\Users\Brad\Desktop\VOC_Particulate_Sensor\VOC_Particulate_Sensor-master\AltiumDesign\Project Outputs for AirQuality_PRJ\Pick Place for Air_PCB.csv

========================================================================================================================
File Design Information:

Date:       27/08/20
Time:       09:49
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"P1","TSM-104-01-L-SH","TopLayer","SMTC-TSM-104-01-X-SH","2756.000","3958.688","180","0.025" SQ Post Header, Surface Mount, Horizontal, -55 to 125 degC, 2.54 mm Pitch, 4-Pin, Male, RoHS"
"R3","ERJ-3EKF1001V","TopLayer","RESC1608X55X30LL15T15","2459.606","4297.000","360",""
"R2","ERJ-3EKF1001V","TopLayer","RESC1608X55X30LL15T15","2472.000","4401.000","360",""
"U3","SGP30","TopLayer","SGP30","2742.000","4458.284","180","AIR QUALITY GAS SENSOR FOR VOC'S"
"DATA","150080BS75000","TopLayer","0805_A","2538.685","4489.000","180","SMD mono-color Chip LED, WL-SMCW, Blue"
"PWR","TLMS1000-GS08","TopLayer","VISH-TLMS1000_V","2376.456","4487.000","360","Low Current LED, 40 mW, 1.8 V, -40 to 100 degC, 2-Pin SMD (0603), RoHS, Tape and Reel"
"U1","DS1621V+","TopLayer","MAXM-W8+2_L","2700.220","4222.000","360","2-wire 0.5 degC Accurate Temperature Sensor and Thermostat, 9 to 12 Bits Temperature Resolution, -55 to 125 degC, 8-Pin SOIC (W8+2), Pb-Free"
"R1","ERJ3EKF1002V","TopLayer","RESC1609X55X30LL15T15","2604.409","4382.000","180","Chip Resistor, 10 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel"
"U2","LD1117AS18TR","TopLayer","SOT-223_L","2364.000","4074.001","270","1A, Low Drop Positive Voltage Regulator, 1.8V, 4-Pin SOT-223, Tape and Reel"
"C3","CGA3E2X7R1H104K080AA","TopLayer","CAPC1608X90X20LL10","2841.000","4458.000","270","Chip Capacitor, 0.1 uF, +/- 10%, 50 V, -55 to 125 degC, 0603 (1608 Metric), RoHS, Tape and Reel"
"C2","GCM21BR70J106KE22L","TopLayer","CAPC2013X140X45LL15T25","2317.528","4300.000","180",""
"C1","CGA3E2X7R1H104K080AA","TopLayer","CAPC1608X90X20LL10","2341.472","4403.000","180","Chip Capacitor, 0.1 uF, +/- 10%, 50 V, -55 to 125 degC, 0603 (1608 Metric), RoHS, Tape and Reel"
